Predicted image classes for Maxwell Bertolero's classifier
-----------------------------------------
Accuracy score: 0.120972002113
-----------------------------------------
Non-Match on mars
Non-Match on skunk
Non-Match on mussels
Non-Match on mussels
Non-Match on mussels
Non-Match on hummingbird
Non-Match on horse
Non-Match on toad
Match on elephant
Non-Match on mussels
Non-Match on mussels
Match on gorilla
Non-Match on mussels
Non-Match on duck
Non-Match on horse
Non-Match on skunk
Match on airplanes
Non-Match on mars
Non-Match on hummingbird
Non-Match on mussels
Non-Match on killer-whale
Non-Match on mussels
Non-Match on porcupine
Non-Match on mussels
Non-Match on mussels
Non-Match on mussels
Non-Match on mussels
Non-Match on gorilla
Non-Match on mussels
Non-Match on galaxy
Non-Match on mussels
Non-Match on mussels
Non-Match on saturn
Non-Match on zebra
Match on hot-air-balloon
Non-Match on mussels
Non-Match on mussels
Non-Match on dolphin
Non-Match on dolphin
Non-Match on giraffe
Non-Match on mussels
Non-Match on camel
Non-Match on camel
Non-Match on teddy-bear
Non-Match on mussels
Non-Match on mussels
Non-Match on llama
Non-Match on mussels
Non-Match on mussels
Non-Match on mussels
Non-Match on mussels
Non-Match on gorilla
Non-Match on mussels
Non-Match on mussels
Non-Match on frog
Non-Match on horse
Non-Match on mussels
Non-Match on mussels
Non-Match on mussels
Non-Match on hummingbird
Non-Match on mussels
Non-Match on saturn
Non-Match on horse
Non-Match on mussels
Non-Match on mussels
Non-Match on mussels
Non-Match on mussels
Non-Match on gorilla
Non-Match on mussels
Match on airplanes
Non-Match on octopus
Non-Match on crab
Non-Match on mussels
Non-Match on blimp
Non-Match on mussels
Non-Match on mussels
Match on airplanes
Non-Match on mussels
Match on airplanes
Match on airplanes
Non-Match on mussels
Non-Match on horse
Match on gorilla
Match on dolphin
Non-Match on mussels
Non-Match on mussels
Non-Match on octopus
Non-Match on starfish
Non-Match on dolphin
Non-Match on helicopter
Non-Match on camel
Non-Match on mussels
Match on airplanes
Non-Match on mussels
Non-Match on dog
Non-Match on mussels
Non-Match on mussels
Non-Match on mussels
Non-Match on kangaroo
Non-Match on horse
Non-Match on elephant
Non-Match on mussels
Non-Match on saturn
Non-Match on octopus
Non-Match on snake
Non-Match on mussels
Non-Match on octopus
Non-Match on horse
Non-Match on raccoon
Non-Match on mussels
Non-Match on mussels
Non-Match on mars
Non-Match on swan
Non-Match on toad
Non-Match on mussels
Match on airplanes
Non-Match on mussels
Non-Match on mussels
Non-Match on mussels
Non-Match on mussels
Non-Match on mussels
Non-Match on goat
Non-Match on mussels
Non-Match on mussels
Non-Match on mussels
Non-Match on mars
Non-Match on killer-whale
Non-Match on cormorant
Match on airplanes
Match on airplanes
Non-Match on mussels
Non-Match on mussels
Match on gorilla
Non-Match on duck
Non-Match on mussels
Non-Match on mussels
Non-Match on mussels
Match on comet
Non-Match on mussels
Non-Match on mussels
Non-Match on horse
Non-Match on mussels
Non-Match on mussels
Non-Match on mussels
Non-Match on gorilla
Non-Match on mussels
Non-Match on mussels
Match on airplanes
Non-Match on gorilla
Non-Match on blimp
Non-Match on teddy-bear
Match on airplanes
Non-Match on mussels
Non-Match on mussels
Non-Match on mussels
Non-Match on dolphin
Match on airplanes
Non-Match on mussels
Non-Match on bear
Non-Match on teddy-bear
Non-Match on goldfish
Non-Match on horse
Match on dolphin
Match on airplanes
Non-Match on toad
Non-Match on mussels
Non-Match on mussels
Non-Match on mussels
Non-Match on mussels
Non-Match on speed-boat
Non-Match on frog
Non-Match on mussels
Non-Match on dog
Non-Match on penguin
Non-Match on mussels
Non-Match on octopus
Non-Match on octopus
Non-Match on mussels
Non-Match on zebra
Non-Match on octopus
Match on gorilla
Non-Match on mussels
Non-Match on horse
Non-Match on horse
Non-Match on goose
Non-Match on teddy-bear
Non-Match on elephant
Non-Match on mussels
Match on airplanes
Match on crab
Non-Match on mussels
Non-Match on mussels
Non-Match on mussels
Non-Match on horse
Non-Match on conch
Non-Match on mussels
Non-Match on llama
Non-Match on raccoon
Non-Match on mussels
Non-Match on mussels
Non-Match on mussels
Non-Match on goldfish
Non-Match on mussels
Non-Match on elk
Non-Match on gorilla
Non-Match on mussels
Non-Match on mussels
Non-Match on mussels
Non-Match on elephant
Non-Match on mussels
Non-Match on mussels
Non-Match on mussels
Non-Match on mussels
Non-Match on horse
Non-Match on zebra
Non-Match on goose
Match on horse
Non-Match on comet
Non-Match on mussels
Non-Match on saturn
Non-Match on mussels
Non-Match on mars
Non-Match on leopards
Non-Match on mussels
Match on airplanes
Non-Match on mussels
Match on airplanes
Non-Match on mussels
Non-Match on mussels
Non-Match on swan
Non-Match on swan
Match on comet
Non-Match on mussels
Non-Match on mussels
Non-Match on zebra
Non-Match on mussels
Non-Match on mussels
Non-Match on mussels
Non-Match on goat
Non-Match on mussels
Non-Match on ostrich
Non-Match on snail
Non-Match on toad
Non-Match on mussels
Non-Match on mussels
Non-Match on skunk
Non-Match on gorilla
Non-Match on triceratops
Non-Match on mussels
Non-Match on blimp
Non-Match on mussels
Non-Match on mussels
Match on frog
Non-Match on octopus
Non-Match on porcupine
Non-Match on mussels
Non-Match on mussels
Non-Match on mussels
Non-Match on mussels
Non-Match on mussels
Non-Match on goat
Non-Match on porcupine
Non-Match on mussels
Non-Match on mussels
Non-Match on mussels
Non-Match on mussels
Non-Match on mussels
Non-Match on mussels
Non-Match on mussels
Non-Match on octopus
Non-Match on gorilla
Match on airplanes
Non-Match on dog
Match on airplanes
Non-Match on dolphin
Non-Match on horse
Non-Match on gorilla
Non-Match on starfish
Non-Match on mussels
Non-Match on mussels
Non-Match on llama
Non-Match on mussels
Non-Match on mussels
Non-Match on mussels
Non-Match on starfish
Non-Match on octopus
Non-Match on helicopter
Non-Match on mars
Non-Match on mussels
Non-Match on mussels
Non-Match on teddy-bear
Non-Match on mussels
Non-Match on mussels
Non-Match on mussels
Non-Match on gorilla
Non-Match on mussels
Non-Match on mussels
Non-Match on mussels
Non-Match on helicopter
Non-Match on llama
Non-Match on leopards
Match on airplanes
Non-Match on mussels
Non-Match on mussels
Non-Match on frog
Non-Match on horse
Non-Match on mussels
Non-Match on mussels
Match on goldfish
Match on airplanes
Non-Match on comet
Match on airplanes
Non-Match on horse
Non-Match on mussels
Non-Match on swan
Non-Match on mussels
Non-Match on mussels
Non-Match on mars
Non-Match on camel
Non-Match on mussels
Non-Match on hot-air-balloon
Non-Match on mussels
Non-Match on mussels
Non-Match on hummingbird
